open,high,low,close,Ticker
123.92703729774797,125.06855324831824,122.8733411455855,123.03919982910156,AAPL
123.4490059123557,124.3368510759359,123.02947607177971,124.24903869628906,AAPL
124.70755558634418,127.36131675668122,123.97581824545021,127.30278015136719,AAPL
126.77595142885431,127.41988394107798,126.23934100200125,126.4832534790039,AAPL
127.19549442536886,127.70283662845416,125.33201411236685,126.98085021972656,AAPL
126.63935317228925,129.32239025268845,126.49299676283543,128.5808868408203,AAPL
127.527237732958,128.30774594363172,127.06868097120527,127.2833251953125,AAPL
127.1271913132279,129.18581330080102,126.063736441913,129.0784912109375,AAPL
128.91264666080772,130.8151612925248,128.41505560442437,130.71759033203125,AAPL
130.51271488266488,131.0493254021088,129.98585550457855,130.4444122314453,AAPL
131.17610718778187,131.3614830240449,129.69311538491124,130.16143798828125,AAPL
